12/4/2019-0:9:48:296	 User_id:2347791025	Name:Kaysee	 User Name:KayseeMarieHill
12/4/2019-0:9:48:337	 User_id:887665791826448400	Name:syapp 🦉	 User Name:syafiqahrzmn
12/4/2019-0:9:48:341	 User_id:601273301	Name:Humaira	 User Name:HumairaBham
12/4/2019-0:9:48:344	 User_id:1040068345196937200	Name:🇺🇸 Shawn Lyn ⭐⭐⭐	 User Name:ShawnLyn5
12/4/2019-0:9:48:347	 User_id:168327262	Name:🏁TMC4KJ🦅	 User Name:ToRich_ToCare
12/4/2019-0:9:48:349	 User_id:762932101	Name:MatthewJshow	 User Name:MatthewJshow
12/4/2019-0:9:48:353	 User_id:320305501	Name:IG: @MoochieSo ⚡️	 User Name:MoochieSo
12/4/2019-0:9:48:357	 User_id:1110558995222356000	Name:elle	 User Name:godhatesegirIs
12/4/2019-0:9:48:362	 User_id:1232500272	Name:ULICES	 User Name:BakedUli
12/4/2019-0:9:48:364	 User_id:1670557758	Name:Terry Tavis	 User Name:TerryTavis1
12/4/2019-0:9:48:377	 User_id:4870207214	Name:Makinzie	 User Name:xoxogden
12/4/2019-0:9:48:380	 User_id:233669897	Name:BigDog45	 User Name:Big4Fin5
12/4/2019-0:9:48:391	 User_id:234846467	Name:Debisi👑	 User Name:wheelsn
12/4/2019-0:9:48:395	 User_id:989937575208149000	Name:Jelmer_	 User Name:Jelmer_2006
12/4/2019-0:9:48:411	 User_id:1058363429457743900	Name:PatriotPride	 User Name:PatriotPride9
12/4/2019-0:9:48:413	 User_id:113703349	Name:Rosie Nixon	 User Name:leavesnbloom
12/4/2019-0:9:49:313	 User_id:599815293	Name:toree 🌞	 User Name:ToreeEneboe
12/4/2019-0:9:49:322	 User_id:1114937725839380500	Name:Candis Hartt	 User Name:CandisHartt
12/4/2019-0:9:49:327	 User_id:2400151107	Name:Dan	 User Name:saxonomics
12/4/2019-0:9:49:332	 User_id:24655055	Name:deborah pachilis	 User Name:stevensmom523
12/4/2019-0:9:49:335	 User_id:790668215269466100	Name:🌈🦋💗 ME! 💗🦋🌈	 User Name:JoeySwiftieTx13
